Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 👨🏽‍⚖, Идентификатор: :man_judge_medium_skin_tone:
Эмодзи: 🤹‍♂️, Идентификатор: :man_juggling:
Эмодзи: 🤹‍♂, Идентификатор: :man_juggling:
Эмодзи: 🤹🏿‍♂️, Идентификатор: :man_juggling_dark_skin_tone:
Эмодзи: 🤹🏿‍♂, Идентификатор: :man_juggling_dark_skin_tone:
Эмодзи: 🤹🏻‍♂️, Идентификатор: :man_juggling_light_skin_tone:
Эмодзи: 🤹🏻‍♂, Идентификатор: :man_juggling_light_skin_tone:
Эмодзи: 🤹🏾‍♂️, Идентификатор: :man_juggling_medium-dark_skin_tone:
Эмодзи: 🤹🏾‍♂, Идентификатор: :man_juggling_medium-dark_skin_tone:
Эмодзи: 🤹🏼‍♂️, Идентификатор: :man_juggling_medium-light_skin_tone:
Эмодзи: 🤹🏼‍♂, Идентификатор: :man_juggling_medium-light_skin_tone:
Эмодзи: 🤹🏽‍♂️, Идентификатор: :man_juggling_medium_skin_tone:
Эмодзи: 🤹🏽‍♂, Идентификатор: :man_juggling_medium_skin_tone:
Эмодзи: 🧎‍♂️, Идентификатор: :man_kneeling:
Эмодзи: 🧎‍♂, Идентификатор: :man_kneeling:
Эмодзи: 🧎🏿‍♂️, Идентификатор: :man_kneeling_dark_skin_tone:
Эмодзи: 🧎🏿‍♂, Идентификатор: :man_kneeling_dark_skin_tone:
Эмодзи: 🧎‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right:
Эмодзи: 🧎‍♂‍➡️, Идентификатор: :man_kneeling_facing_right:
Эмодзи: 🧎‍♂️‍➡, Идентификатор: :man_kneeling_facing_right:
Эмодзи: 🧎‍♂‍➡, Идентификатор: :man_kneeling_facing_right:
Эмодзи: 🧎🏿‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right_dark_skin_tone:
Эмодзи: 🧎🏿‍♂‍➡️, Идентификатор: :man_kneeling_facing_right_dark_skin_tone:
Эмодзи: 🧎🏿‍♂️‍➡, Идентификатор: :man_kneeling_facing_right_dark_skin_tone:
Эмодзи: 🧎🏿‍♂‍➡, Идентификатор: :man_kneeling_facing_right_dark_skin_tone:
Эмодзи: 🧎🏻‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right_light_skin_tone:
Эмодзи: 🧎🏻‍♂‍➡️, Идентификатор: :man_kneeling_facing_right_light_skin_tone:
Эмодзи: 🧎🏻‍♂️‍➡, Идентификатор: :man_kneeling_facing_right_light_skin_tone:
Эмодзи: 🧎🏻‍♂‍➡, Идентификатор: :man_kneeling_facing_right_light_skin_tone:
Эмодзи: 🧎🏾‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right_medium-dark_skin_tone:
Эмодзи: 🧎🏾‍♂‍➡️, Идентификатор: :man_kneeling_facing_right_medium-dark_skin_tone:
Эмодзи: 🧎🏾‍♂️‍➡, Идентификатор: :man_kneeling_facing_right_medium-dark_skin_tone:
Эмодзи: 🧎🏾‍♂‍➡, Идентификатор: :man_kneeling_facing_right_medium-dark_skin_tone:
Эмодзи: 🧎🏼‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right_medium-light_skin_tone:
Эмодзи: 🧎🏼‍♂‍➡️, Идентификатор: :man_kneeling_facing_right_medium-light_skin_tone:
Эмодзи: 🧎🏼‍♂️‍➡, Идентификатор: :man_kneeling_facing_right_medium-light_skin_tone:
Эмодзи: 🧎🏼‍♂‍➡, Идентификатор: :man_kneeling_facing_right_medium-light_skin_tone:
Эмодзи: 🧎🏽‍♂️‍➡️, Идентификатор: :man_kneeling_facing_right_medium_skin_tone:
Эмодзи: 🧎🏽‍♂‍➡️, Идентификатор: :man_kneeling_facing_right_medium_skin_tone:
Эмодзи: 🧎🏽‍♂️‍➡, Идентификатор: :man_kneeling_facing_right_medium_skin_tone:
Эмодзи: 🧎🏽‍♂‍➡, Идентификатор: :man_kneeling_facing_right_medium_skin_tone:
Эмодзи: 🧎🏻‍♂️, Идентификатор: :man_kneeling_light_skin_tone:
Эмодзи: 🧎🏻‍♂, Идентификатор: :man_kneeling_light_skin_tone:
Эмодзи: 🧎🏾‍♂️, Идентификатор: :man_kneeling_medium-dark_skin_tone:
Эмодзи: 🧎🏾‍♂, Идентификатор: :man_kneeling_medium-dark_skin_tone:
Эмодзи: 🧎🏼‍♂️, Идентификатор: :man_kneeling_medium-light_skin_tone:
Эмодзи: 🧎🏼‍♂, Идентификатор: :man_kneeling_medium-light_skin_tone:
Эмодзи: 🧎🏽‍♂️, Идентификатор: :man_kneeling_medium_skin_tone:
Эмодзи: 🧎🏽‍♂, Идентификатор: :man_kneeling_medium_skin_tone:
Эмодзи: 🏋️‍♂️, Идентификатор: :man_lifting_weights:
Эмодзи: 🏋‍♂️, Идентификатор: :man_lifting_weights:
Эмодзи: 🏋️‍♂, Идентификатор: :man_lifting_weights:
Эмодзи: 🏋‍♂, Идентификатор: :man_lifting_weights:
Эмодзи: 🏋🏿‍♂️, Идентификатор: :man_lifting_weights_dark_skin_tone:
Эмодзи: 🏋🏿‍♂, Идентификатор: :man_lifting_weights_dark_skin_tone:
Эмодзи: 🏋🏻‍♂️, Идентификатор: :man_lifting_weights_light_skin_tone:
Эмодзи: 🏋🏻‍♂, Идентификатор: :man_lifting_weights_light_skin_tone:
Эмодзи: 🏋🏾‍♂️, Идентификатор: :man_lifting_weights_medium-dark_skin_tone:
Эмодзи: 🏋🏾‍♂, Идентификатор: :man_lifting_weights_medium-dark_skin_tone:
Эмодзи: 🏋🏼‍♂️, Идентификатор: :man_lifting_weights_medium-light_skin_tone:
Эмодзи: 🏋🏼‍♂, Идентификатор: :man_lifting_weights_medium-light_skin_tone:
Эмодзи: 🏋🏽‍♂️, Идентификатор: :man_lifting_weights_medium_skin_tone:
Эмодзи: 🏋🏽‍♂, Идентификатор: :man_lifting_weights_medium_skin_tone:
Эмодзи: 👨🏻, Идентификатор: :man_light_skin_tone:
Эмодзи: 👨🏻‍🦲, Идентификатор: :man_light_skin_tone_bald:
Эмодзи: 🧔🏻‍♂️, Идентификатор: :man_light_skin_tone_beard:
Эмодзи: 🧔🏻‍♂, Идентификатор: :man_light_skin_tone_beard:
Эмодзи: 👱🏻‍♂️, Идентификатор: :man_light_skin_tone_blond_hair:
Эмодзи: 👱🏻‍♂, Идентификатор: :man_light_skin_tone_blond_hair:
Эмодзи: 👨🏻‍🦱, Идентификатор: :man_light_skin_tone_curly_hair:
Эмодзи: 👨🏻‍🦰, Идентификатор: :man_light_skin_tone_red_hair:
Эмодзи: 👨🏻‍🦳, Идентификатор: :man_light_skin_tone_white_hair:
Эмодзи: 🧙‍♂️, Идентификатор: :man_mage:
Эмодзи: 🧙‍♂, Идентификатор: :man_mage:
Эмодзи: 🧙🏿‍♂️, Идентификатор: :man_mage_dark_skin_tone:
Эмодзи: 🧙🏿‍♂, Идентификатор: :man_mage_dark_skin_tone:
Эмодзи: 🧙🏻‍♂️, Идентификатор: :man_mage_light_skin_tone:
Эмодзи: 🧙🏻‍♂, Идентификатор: :man_mage_light_skin_tone:
Эмодзи: 🧙🏾‍♂️, Идентификатор: :man_mage_medium-dark_skin_tone:
Эмодзи: 🧙🏾‍♂, Идентификатор: :man_mage_medium-dark_skin_tone:
Эмодзи: 🧙🏼‍♂️, Идентификатор: :man_mage_medium-light_skin_tone:
Эмодзи: 🧙🏼‍♂, Идентификатор: :man_mage_medium-light_skin_tone:
Эмодзи: 🧙🏽‍♂️, Идентификатор: :man_mage_medium_skin_tone:
Эмодзи: 🧙🏽‍♂, Идентификатор: :man_mage_medium_skin_tone:
Эмодзи: 👨‍🔧, Идентификатор: :man_mechanic:
Эмодзи: 👨🏿‍🔧, Идентификатор: :man_mechanic_dark_skin_tone:
Эмодзи: 👨🏻‍🔧, Идентификатор: :man_mechanic_light_skin_tone:
Эмодзи: 👨🏾‍🔧, Идентификатор: :man_mechanic_medium-dark_skin_tone:
Эмодзи: 👨🏼‍🔧, Идентификатор: :man_mechanic_medium-light_skin_tone:
Эмодзи: 👨🏽‍🔧, Идентификатор: :man_mechanic_medium_skin_tone:
Эмодзи: 👨🏾, Идентификатор: :man_medium-dark_skin_tone:
Эмодзи: 👨🏾‍🦲, Идентификатор: :man_medium-dark_skin_tone_bald:
Эмодзи: 🧔🏾‍♂️, Идентификатор: :man_medium-dark_skin_tone_beard:
Эмодзи: 🧔🏾‍♂, Идентификатор: :man_medium-dark_skin_tone_beard:
Эмодзи: 👱🏾‍♂️, Идентификатор: :man_medium-dark_skin_tone_blond_hair:
Эмодзи: 👱🏾‍♂, Идентификатор: :man_medium-dark_skin_tone_blond_hair:
Эмодзи: 👨🏾‍🦱, Идентификатор: :man_medium-dark_skin_tone_curly_hair:
Эмодзи: 👨🏾‍🦰, Идентификатор: :man_medium-dark_skin_tone_red_hair:
Эмодзи: 👨🏾‍🦳, Идентификатор: :man_medium-dark_skin_tone_white_hair:
Эмодзи: 👨🏼, Идентификатор: :man_medium-light_skin_tone:
Эмодзи: 👨🏼‍🦲, Идентификатор: :man_medium-light_skin_tone_bald:
Эмодзи: 🧔🏼‍♂️, Идентификатор: :man_medium-light_skin_tone_beard:
Эмодзи: 🧔🏼‍♂, Идентификатор: :man_medium-light_skin_tone_beard:
Эмодзи: 👱🏼‍♂️, Идентификатор: :man_medium-light_skin_tone_blond_hair:
Эмодзи: 👱🏼‍♂, Идентификатор: :man_medium-light_skin_tone_blond_hair:
Эмодзи: 👨🏼‍🦱, Идентификатор: :man_medium-light_skin_tone_curly_hair:
Эмодзи: 👨🏼‍🦰, Идентификатор: :man_medium-light_skin_tone_red_hair:
Эмодзи: 👨🏼‍🦳, Идентификатор: :man_medium-light_skin_tone_white_hair:
Эмодзи: 👨🏽, Идентификатор: :man_medium_skin_tone:
Эмодзи: 👨🏽‍🦲, Идентификатор: :man_medium_skin_tone_bald:
Эмодзи: 🧔🏽‍♂️, Идентификатор: :man_medium_skin_tone_beard:
Эмодзи: 🧔🏽‍♂, Идентификатор: :man_medium_skin_tone_beard:
Эмодзи: 👱🏽‍♂️, Идентификатор: :man_medium_skin_tone_blond_hair:
Эмодзи: 👱🏽‍♂, Идентификатор: :man_medium_skin_tone_blond_hair:
Эмодзи: 👨🏽‍🦱, Идентификатор: :man_medium_skin_tone_curly_hair:
Эмодзи: 👨🏽‍🦰, Идентификатор: :man_medium_skin_tone_red_hair:
Эмодзи: 👨🏽‍🦳, Идентификатор: :man_medium_skin_tone_white_hair:
Эмодзи: 🚵‍♂️, Идентификатор: :man_mountain_biking:
Эмодзи: 🚵‍♂, Идентификатор: :man_mountain_biking:
Эмодзи: 🚵🏿‍♂️, Идентификатор: :man_mountain_biking_dark_skin_tone:
Эмодзи: 🚵🏿‍♂, Идентификатор: :man_mountain_biking_dark_skin_tone:
Эмодзи: 🚵🏻‍♂️, Идентификатор: :man_mountain_biking_light_skin_tone:
Эмодзи: 🚵🏻‍♂, Идентификатор: :man_mountain_biking_light_skin_tone:
Эмодзи: 🚵🏾‍♂️, Идентификатор: :man_mountain_biking_medium-dark_skin_tone:
Эмодзи: 🚵🏾‍♂, Идентификатор: :man_mountain_biking_medium-dark_skin_tone:
Эмодзи: 🚵🏼‍♂️, Идентификатор: :man_mountain_biking_medium-light_skin_tone:
Эмодзи: 🚵🏼‍♂, Идентификатор: :man_mountain_biking_medium-light_skin_tone:
Эмодзи: 🚵🏽‍♂️, Идентификатор: :man_mountain_biking_medium_skin_tone:
Эмодзи: 🚵🏽‍♂, Идентификатор: :man_mountain_biking_medium_skin_tone:
Эмодзи: 👨‍💼, Идентификатор: :man_office_worker:
Эмодзи: 👨🏿‍💼, Идентификатор: :man_office_worker_dark_skin_tone:
Эмодзи: 👨🏻‍💼, Идентификатор: :man_office_worker_light_skin_tone:
Эмодзи: 👨🏾‍💼, Идентификатор: :man_office_worker_medium-dark_skin_tone:
Эмодзи: 👨🏼‍💼, Идентификатор: :man_office_worker_medium-light_skin_tone:
Эмодзи: 👨🏽‍💼, Идентификатор: :man_office_worker_medium_skin_tone:
Эмодзи: 👨‍✈️, Идентификатор: :man_pilot:
Эмодзи: 👨‍✈, Идентификатор: :man_pilot:
Эмодзи: 👨🏿‍✈️, Идентификатор: :man_pilot_dark_skin_tone:
Эмодзи: 👨🏿‍✈, Идентификатор: :man_pilot_dark_skin_tone:
Эмодзи: 👨🏻‍✈️, Идентификатор: :man_pilot_light_skin_tone:
Эмодзи: 👨🏻‍✈, Идентификатор: :man_pilot_light_skin_tone:
Эмодзи: 👨🏾‍✈️, Идентификатор: :man_pilot_medium-dark_skin_tone:
Эмодзи: 👨🏾‍✈, Идентификатор: :man_pilot_medium-dark_skin_tone:
Эмодзи: 👨🏼‍✈️, Идентификатор: :man_pilot_medium-light_skin_tone:
Эмодзи: 👨🏼‍✈, Идентификатор: :man_pilot_medium-light_skin_tone:
Эмодзи: 👨🏽‍✈️, Идентификатор: :man_pilot_medium_skin_tone:
Эмодзи: 👨🏽‍✈, Идентификатор: :man_pilot_medium_skin_tone:
Эмодзи: 🤾‍♂️, Идентификатор: :man_playing_handball:
Эмодзи: 🤾‍♂, Идентификатор: :man_playing_handball:
Эмодзи: 🤾🏿‍♂️, Идентификатор: :man_playing_handball_dark_skin_tone:
Эмодзи: 🤾🏿‍♂, Идентификатор: :man_playing_handball_dark_skin_tone:
Эмодзи: 🤾🏻‍♂️, Идентификатор: :man_playing_handball_light_skin_tone:
Эмодзи: 🤾🏻‍♂, Идентификатор: :man_playing_handball_light_skin_tone:
Эмодзи: 🤾🏾‍♂️, Идентификатор: :man_playing_handball_medium-dark_skin_tone:
Эмодзи: 🤾🏾‍♂, Идентификатор: :man_playing_handball_medium-dark_skin_tone:
Эмодзи: 🤾🏼‍♂️, Идентификатор: :man_playing_handball_medium-light_skin_tone:
Эмодзи: 🤾🏼‍♂, Идентификатор: :man_playing_handball_medium-light_skin_tone:
Эмодзи: 🤾🏽‍♂️, Идентификатор: :man_playing_handball_medium_skin_tone:
Эмодзи: 🤾🏽‍♂, Идентификатор: :man_playing_handball_medium_skin_tone:
Эмодзи: 🤽‍♂️, Идентификатор: :man_playing_water_polo:
Эмодзи: 🤽‍♂, Идентификатор: :man_playing_water_polo:
Эмодзи: 🤽🏿‍♂️, Идентификатор: :man_playing_water_polo_dark_skin_tone:
Эмодзи: 🤽🏿‍♂, Идентификатор: :man_playing_water_polo_dark_skin_tone:
Эмодзи: 🤽🏻‍♂️, Идентификатор: :man_playing_water_polo_light_skin_tone:
Эмодзи: 🤽🏻‍♂, Идентификатор: :man_playing_water_polo_light_skin_tone:
Эмодзи: 🤽🏾‍♂️, Идентификатор: :man_playing_water_polo_medium-dark_skin_tone:
Эмодзи: 🤽🏾‍♂, Идентификатор: :man_playing_water_polo_medium-dark_skin_tone:
Эмодзи: 🤽🏼‍♂️, Идентификатор: :man_playing_water_polo_medium-light_skin_tone:
Эмодзи: 🤽🏼‍♂, Идентификатор: :man_playing_water_polo_medium-light_skin_tone:
Эмодзи: 🤽🏽‍♂️, Идентификатор: :man_playing_water_polo_medium_skin_tone:
Эмодзи: 🤽🏽‍♂, Идентификатор: :man_playing_water_polo_medium_skin_tone:
Эмодзи: 👮‍♂️, Идентификатор: :man_police_officer:
Эмодзи: 👮‍♂, Идентификатор: :man_police_officer:
Эмодзи: 👮🏿‍♂️, Идентификатор: :man_police_officer_dark_skin_tone:
Эмодзи: 👮🏿‍♂, Идентификатор: :man_police_officer_dark_skin_tone:
Эмодзи: 👮🏻‍♂️, Идентификатор: :man_police_officer_light_skin_tone:
Эмодзи: 👮🏻‍♂, Идентификатор: :man_police_officer_light_skin_tone:
Эмодзи: 👮🏾‍♂️, Идентификатор: :man_police_officer_medium-dark_skin_tone:
Эмодзи: 👮🏾‍♂, Идентификатор: :man_police_officer_medium-dark_skin_tone:
Эмодзи: 👮🏼‍♂️, Идентификатор: :man_police_officer_medium-light_skin_tone:
Эмодзи: 👮🏼‍♂, Идентификатор: :man_police_officer_medium-light_skin_tone:
Эмодзи: 👮🏽‍♂️, Идентификатор: :man_police_officer_medium_skin_tone:
Эмодзи: 👮🏽‍♂, Идентификатор: :man_police_officer_medium_skin_tone:
Эмодзи: 🙎‍♂️, Идентификатор: :man_pouting:
Эмодзи: 🙎‍♂, Идентификатор: :man_pouting:
Эмодзи: 🙎🏿‍♂️, Идентификатор: :man_pouting_dark_skin_tone:
Эмодзи: 🙎🏿‍♂, Идентификатор: :man_pouting_dark_skin_tone:
Эмодзи: 🙎🏻‍♂️, Идентификатор: :man_pouting_light_skin_tone:
Эмодзи: 🙎🏻‍♂, Идентификатор: :man_pouting_light_skin_tone:
Эмодзи: 🙎🏾‍♂️, Идентификатор: :man_pouting_medium-dark_skin_tone:
Эмодзи: 🙎🏾‍♂, Идентификатор: :man_pouting_medium-dark_skin_tone:
Эмодзи: 🙎🏼‍♂️, Идентификатор: :man_pouting_medium-light_skin_tone:
Эмодзи: 🙎🏼‍♂, Идентификатор: :man_pouting_medium-light_skin_tone:
Эмодзи: 🙎🏽‍♂️, Идентификатор: :man_pouting_medium_skin_tone:
Эмодзи: 🙎🏽‍♂, Идентификатор: :man_pouting_medium_skin_tone:
Эмодзи: 🙋‍♂️, Идентификатор: :man_raising_hand:
Эмодзи: 🙋‍♂, Идентификатор: :man_raising_hand:
Эмодзи: 🙋🏿‍♂️, Идентификатор: :man_raising_hand_dark_skin_tone:
Эмодзи: 🙋🏿‍♂, Идентификатор: :man_raising_hand_dark_skin_tone:
Эмодзи: 🙋🏻‍♂️, Идентификатор: :man_raising_hand_light_skin_tone:
Эмодзи: 🙋🏻‍♂, Идентификатор: :man_raising_hand_light_skin_tone:
Эмодзи: 🙋🏾‍♂️, Идентификатор: :man_raising_hand_medium-dark_skin_tone:
Эмодзи: 🙋🏾‍♂, Идентификатор: :man_raising_hand_medium-dark_skin_tone:
Эмодзи: 🙋🏼‍♂️, Идентификатор: :man_raising_hand_medium-light_skin_tone:
Эмодзи: 🙋🏼‍♂, Идентификатор: :man_raising_hand_medium-light_skin_tone:
Эмодзи: 🙋🏽‍♂️, Идентификатор: :man_raising_hand_medium_skin_tone:
Эмодзи: 🙋🏽‍♂, Идентификатор: :man_raising_hand_medium_skin_tone:
Эмодзи: 👨‍🦰, Идентификатор: :man_red_hair:
Эмодзи: 🚣‍♂️, Идентификатор: :man_rowing_boat:
Эмодзи: 🚣‍♂, Идентификатор: :man_rowing_boat:
Эмодзи: 🚣🏿‍♂️, Идентификатор: :man_rowing_boat_dark_skin_tone:
Эмодзи: 🚣🏿‍♂, Идентификатор: :man_rowing_boat_dark_skin_tone:
Эмодзи: 🚣🏻‍♂️, Идентификатор: :man_rowing_boat_light_skin_tone:
Эмодзи: 🚣🏻‍♂, Идентификатор: :man_rowing_boat_light_skin_tone:
Эмодзи: 🚣🏾‍♂️, Идентификатор: :man_rowing_boat_medium-dark_skin_tone:
Эмодзи: 🚣🏾‍♂, Идентификатор: :man_rowing_boat_medium-dark_skin_tone:
Эмодзи: 🚣🏼‍♂️, Идентификатор: :man_rowing_boat_medium-light_skin_tone:
Эмодзи: 🚣🏼‍♂, Идентификатор: :man_rowing_boat_medium-light_skin_tone:
Эмодзи: 🚣🏽‍♂️, Идентификатор: :man_rowing_boat_medium_skin_tone:
Эмодзи: 🚣🏽‍♂, Идентификатор: :man_rowing_boat_medium_skin_tone:
Эмодзи: 🏃‍♂️, Идентификатор: :man_running:
Эмодзи: 🏃‍♂, Идентификатор: :man_running:
Эмодзи: 🏃🏿‍♂️, Идентификатор: :man_running_dark_skin_tone:
Эмодзи: 🏃🏿‍♂, Идентификатор: :man_running_dark_skin_tone:
Эмодзи: 🏃‍♂️‍➡️, Идентификатор: :man_running_facing_right:
Эмодзи: 🏃‍♂‍➡️, Идентификатор: :man_running_facing_right:
Эмодзи: 🏃‍♂️‍➡, Идентификатор: :man_running_facing_right:
Эмодзи: 🏃‍♂‍➡, Идентификатор: :man_running_facing_right:
Эмодзи: 🏃🏿‍♂️‍➡️, Идентификатор: :man_running_facing_right_dark_skin_tone:
Эмодзи: 🏃🏿‍♂‍➡️, Идентификатор: :man_running_facing_right_dark_skin_tone:
Эмодзи: 🏃🏿‍♂️‍➡, Идентификатор: :man_running_facing_right_dark_skin_tone:
Эмодзи: 🏃🏿‍♂‍➡, Идентификатор: :man_running_facing_right_dark_skin_tone:
Эмодзи: 🏃🏻‍♂️‍➡️, Идентификатор: :man_running_facing_right_light_skin_tone:
Эмодзи: 🏃🏻‍♂‍➡️, Идентификатор: :man_running_facing_right_light_skin_tone:
Эмодзи: 🏃🏻‍♂️‍➡, Идентификатор: :man_running_facing_right_light_skin_tone:
Эмодзи: 🏃🏻‍♂‍➡, Идентификатор: :man_running_facing_right_light_skin_tone:
Эмодзи: 🏃🏾‍♂️‍➡️, Идентификатор: :man_running_facing_right_medium-dark_skin_tone:
Эмодзи: 🏃🏾‍♂‍➡️, Идентификатор: :man_running_facing_right_medium-dark_skin_tone:
Эмодзи: 🏃🏾‍♂️‍➡, Идентификатор: :man_running_facing_right_medium-dark_skin_tone:
Эмодзи: 🏃🏾‍♂‍➡, Идентификатор: :man_running_facing_right_medium-dark_skin_tone:
Эмодзи: 🏃🏼‍♂️‍➡️, Идентификатор: :man_running_facing_right_medium-light_skin_tone:
Эмодзи: 🏃🏼‍♂‍➡️, Идентификатор: :man_running_facing_right_medium-light_skin_tone:
Эмодзи: 🏃🏼‍♂️‍➡, Идентификатор: :man_running_facing_right_medium-light_skin_tone:
Эмодзи: 🏃🏼‍♂‍➡, Идентификатор: :man_running_facing_right_medium-light_skin_tone:
Эмодзи: 🏃🏽‍♂️‍➡️, Идентификатор: :man_running_facing_right_medium_skin_tone:
Эмодзи: 🏃🏽‍♂‍➡️, Идентификатор: :man_running_facing_right_medium_skin_tone:
Эмодзи: 🏃🏽‍♂️‍➡, Идентификатор: :man_running_facing_right_medium_skin_tone:
Эмодзи: 🏃🏽‍♂‍➡, Идентификатор: :man_running_facing_right_medium_skin_tone:
Эмодзи: 🏃🏻‍♂️, Идентификатор: :man_running_light_skin_tone:
Эмодзи: 🏃🏻‍♂, Идентификатор: :man_running_light_skin_tone:
Эмодзи: 🏃🏾‍♂️, Идентификатор: :man_running_medium-dark_skin_tone:
Эмодзи: 🏃🏾‍♂, Идентификатор: :man_running_medium-dark_skin_tone:
Эмодзи: 🏃🏼‍♂️, Идентификатор: :man_running_medium-light_skin_tone:
Эмодзи: 🏃🏼‍♂, Идентификатор: :man_running_medium-light_skin_tone:
Эмодзи: 🏃🏽‍♂️, Идентификатор: :man_running_medium_skin_tone:
Эмодзи: 🏃🏽‍♂, Идентификатор: :man_running_medium_skin_tone:
Эмодзи: 👨‍🔬, Идентификатор: :man_scientist:
Эмодзи: 👨🏿‍🔬, Идентификатор: :man_scientist_dark_skin_tone:
Эмодзи: 👨🏻‍🔬, Идентификатор: :man_scientist_light_skin_tone:
Эмодзи: 👨🏾‍🔬, Идентификатор: :man_scientist_medium-dark_skin_tone:
Эмодзи: 👨🏼‍🔬, Идентификатор: :man_scientist_medium-light_skin_tone:
Эмодзи: 👨🏽‍🔬, Идентификатор: :man_scientist_medium_skin_tone:
Эмодзи: 🤷‍♂️, Идентификатор: :man_shrugging:
Эмодзи: 🤷‍♂, Идентификатор: :man_shrugging:
Эмодзи: 🤷🏿‍♂️, Идентификатор: :man_shrugging_dark_skin_tone:
Эмодзи: 🤷🏿‍♂, Идентификатор: :man_shrugging_dark_skin_tone:
Эмодзи: 🤷🏻‍♂️, Идентификатор: :man_shrugging_light_skin_tone:
Эмодзи: 🤷🏻‍♂, Идентификатор: :man_shrugging_light_skin_tone:
Эмодзи: 🤷🏾‍♂️, Идентификатор: :man_shrugging_medium-dark_skin_tone:
Эмодзи: 🤷🏾‍♂, Идентификатор: :man_shrugging_medium-dark_skin_tone:
Эмодзи: 🤷🏼‍♂️, Идентификатор: :man_shrugging_medium-light_skin_tone:
Эмодзи: 🤷🏼‍♂, Идентификатор: :man_shrugging_medium-light_skin_tone:
Эмодзи: 🤷🏽‍♂️, Идентификатор: :man_shrugging_medium_skin_tone:
Эмодзи: 🤷🏽‍♂, Идентификатор: :man_shrugging_medium_skin_tone:
Эмодзи: 👨‍🎤, Идентификатор: :man_singer:
Эмодзи: 👨🏿‍🎤, Идентификатор: :man_singer_dark_skin_tone:
Эмодзи: 👨🏻‍🎤, Идентификатор: :man_singer_light_skin_tone:
Эмодзи: 👨🏾‍🎤, Идентификатор: :man_singer_medium-dark_skin_tone:
Эмодзи: 👨🏼‍🎤, Идентификатор: :man_singer_medium-light_skin_tone:
Эмодзи: 👨🏽‍🎤, Идентификатор: :man_singer_medium_skin_tone:
Эмодзи: 🧍‍♂️, Идентификатор: :man_standing:
Эмодзи: 🧍‍♂, Идентификатор: :man_standing:
Эмодзи: 🧍🏿‍♂️, Идентификатор: :man_standing_dark_skin_tone:
Эмодзи: 🧍🏿‍♂, Идентификатор: :man_standing_dark_skin_tone:
Эмодзи: 🧍🏻‍♂️, Идентификатор: :man_standing_light_skin_tone:
Эмодзи: 🧍🏻‍♂, Идентификатор: :man_standing_light_skin_tone:
Эмодзи: 🧍🏾‍♂️, Идентификатор: :man_standing_medium-dark_skin_tone:
Эмодзи: 🧍🏾‍♂, Идентификатор: :man_standing_medium-dark_skin_tone:
Эмодзи: 🧍🏼‍♂️, Идентификатор: :man_standing_medium-light_skin_tone:
Эмодзи: 🧍🏼‍♂, Идентификатор: :man_standing_medium-light_skin_tone:
Эмодзи: 🧍🏽‍♂️, Идентификатор: :man_standing_medium_skin_tone:
Эмодзи: 🧍🏽‍♂, Идентификатор: :man_standing_medium_skin_tone:
Эмодзи: 👨‍🎓, Идентификатор: :man_student:
Эмодзи: 👨🏿‍🎓, Идентификатор: :man_student_dark_skin_tone:
Эмодзи: 👨🏻‍🎓, Идентификатор: :man_student_light_skin_tone:
Эмодзи: 👨🏾‍🎓, Идентификатор: :man_student_medium-dark_skin_tone:
Эмодзи: 👨🏼‍🎓, Идентификатор: :man_student_medium-light_skin_tone:
Эмодзи: 👨🏽‍🎓, Идентификатор: :man_student_medium_skin_tone:
Эмодзи: 🦸‍♂️, Идентификатор: :man_superhero:
Эмодзи: 🦸‍♂, Идентификатор: :man_superhero:
Эмодзи: 🦸🏿‍♂️, Идентификатор: :man_superhero_dark_skin_tone:
Эмодзи: 🦸🏿‍♂, Идентификатор: :man_superhero_dark_skin_tone:
Эмодзи: 🦸🏻‍♂️, Идентификатор: :man_superhero_light_skin_tone:
Эмодзи: 🦸🏻‍♂, Идентификатор: :man_superhero_light_skin_tone:
Эмодзи: 🦸🏾‍♂️, Идентификатор: :man_superhero_medium-dark_skin_tone:
Эмодзи: 🦸🏾‍♂, Идентификатор: :man_superhero_medium-dark_skin_tone:
Эмодзи: 🦸🏼‍♂️, Идентификатор: :man_superhero_medium-light_skin_tone:
Эмодзи: 🦸🏼‍♂, Идентификатор: :man_superhero_medium-light_skin_tone:
Эмодзи: 🦸🏽‍♂️, Идентификатор: :man_superhero_medium_skin_tone:
Эмодзи: 🦸🏽‍♂, Идентификатор: :man_superhero_medium_skin_tone:
Эмодзи: 🦹‍♂️, Идентификатор: :man_supervillain:
Эмодзи: 🦹‍♂, Идентификатор: :man_supervillain:
Эмодзи: 🦹🏿‍♂️, Идентификатор: :man_supervillain_dark_skin_tone:
Эмодзи: 🦹🏿‍♂, Идентификатор: :man_supervillain_dark_skin_tone:
Эмодзи: 🦹🏻‍♂️, Идентификатор: :man_supervillain_light_skin_tone:
Эмодзи: 🦹🏻‍♂, Идентификатор: :man_supervillain_light_skin_tone:
Эмодзи: 🦹🏾‍♂️, Идентификатор: :man_supervillain_medium-dark_skin_tone:
